iter	RMSE
0	4.989432891
1	4.93084422
2	4.874225337
3	4.81993266
4	4.766132533
5	4.714671233
6	4.667385788
7	4.621236375
8	4.577822955
9	4.535960049
10	4.496754492
11	4.460313339
12	4.422751999
13	4.389409982
14	4.357115576
15	4.326453651
16	4.297379029
17	4.269551186
18	4.242574239
19	4.216211286
20	4.192832278
21	4.16795764
22	4.146881403
23	4.12395307
24	4.104523611
25	4.0850311
26	4.067043266
27	4.048354736
28	4.031711678
29	4.014743362
30	3.998085671
31	3.983697877
32	3.969774402
33	3.957015891
34	3.944594395
35	3.932538584
36	3.921783381
37	3.912072735
38	3.902627076
39	3.891621766
40	3.882662553
41	3.873760515
42	3.864221614
43	3.856795247
44	3.848837377
45	3.840746569
46	3.833150776
47	3.826160341
48	3.819236414
49	3.813390526
50	3.807739394
51	3.801882369
52	3.797107105
53	3.791384212
54	3.786820043
55	3.781770779
56	3.776178124
57	3.771227208
58	3.766884591
59	3.762557162
60	3.758476633
61	3.754609189
62	3.750863771
63	3.747886565
64	3.745012574
65	3.741825262
66	3.73904044
67	3.735205226
68	3.731972044
69	3.729206182
70	3.726839911
71	3.724381684
72	3.722264204
73	3.720002965
74	3.717769673
75	3.715202102
76	3.712999101
77	3.711000256
78	3.709211763
79	3.7072905
80	3.705003857
81	3.703256897
82	3.701256482
83	3.699621699
84	3.69789677
85	3.695764051
86	3.694162843
87	3.692758993
88	3.691198552
89	3.689779132
90	3.688254965
91	3.686705142
92	3.685496162
93	3.684051897
94	3.682874219
95	3.681258936
96	3.680091453
97	3.678980009
98	3.677961476
99	3.677076184
100	3.675820287
101	3.674575339
102	3.673536995
103	3.672781631
104	3.671638773
105	3.67074996
106	3.669711095
107	3.668766202
108	3.667750743
109	3.666700389
110	3.666038088
111	3.665246474
112	3.664538793
113	3.66390257
114	3.663211411
115	3.662260125
116	3.661473807
117	3.660456335
118	3.659796606
119	3.659049279
120	3.658407993
121	3.657375689
122	3.656518163
123	3.655917988
124	3.655255785
125	3.654580601
126	3.654031275
127	3.653444634
128	3.652668822
129	3.65209801
130	3.651500479
131	3.651020075
132	3.650469984
133	3.649573805
134	3.649034025
135	3.648555106
136	3.648145645
