iter	Passed	Remaining
0	8	4222
1	13	3243
2	17	2908
3	22	2778
4	27	2679
5	31	2587
6	36	2583
7	41	2565
8	46	2533
9	51	2513
10	55	2474
11	60	2442
12	64	2424
13	69	2402
14	73	2382
15	78	2368
16	82	2348
17	87	2334
18	91	2323
19	96	2315
20	100	2300
21	105	2295
22	110	2289
23	114	2276
24	119	2262
25	123	2247
26	127	2235
27	131	2223
28	136	2211
29	141	2212
30	145	2203
31	149	2192
32	154	2184
33	158	2173
34	162	2163
35	167	2155
36	171	2145
37	175	2135
38	179	2125
39	184	2116
40	188	2109
41	192	2100
42	197	2097
43	203	2108
44	209	2116
45	216	2133
46	222	2141
47	226	2133
48	230	2123
49	235	2117
50	239	2108
51	243	2100
52	248	2092
53	252	2085
54	256	2075
55	260	2067
56	265	2060
57	269	2053
58	273	2045
59	277	2038
60	282	2030
61	286	2022
62	290	2015
63	294	2008
64	299	2001
65	303	1994
66	307	1989
67	312	1985
68	316	1979
69	321	1973
70	325	1967
71	330	1961
72	334	1955
73	338	1947
74	342	1940
75	346	1934
76	350	1927
77	355	1922
78	359	1915
79	363	1909
80	368	1904
81	372	1897
82	376	1891
83	380	1885
84	384	1879
85	389	1873
86	393	1866
87	397	1859
88	402	1859
89	408	1858
90	414	1861
91	419	1858
92	423	1852
93	428	1848
94	432	1843
95	436	1838
96	441	1834
97	445	1828
98	449	1822
99	454	1817
100	458	1811
101	462	1805
102	466	1799
103	471	1795
104	476	1790
105	480	1785
106	484	1779
107	488	1774
108	493	1769
109	497	1764
110	502	1761
111	507	1758
112	512	1756
113	517	1751
114	521	1746
115	526	1741
116	530	1736
117	534	1730
118	538	1725
119	543	1720
120	547	1715
121	552	1710
122	556	1705
123	560	1699
124	564	1694
125	569	1689
126	573	1684
127	578	1681
128	583	1677
129	587	1672
130	591	1667
131	597	1665
132	602	1663
133	608	1662
134	614	1661
135	619	1658
136	624	1655
137	631	1655
138	636	1652
139	640	1647
140	644	1641
141	649	1637
142	654	1633
143	658	1628
144	663	1623
145	667	1617
146	671	1612
147	675	1607
148	680	1601
149	684	1597
150	689	1592
151	693	1587
152	697	1582
153	701	1576
154	706	1571
155	710	1566
156	714	1561
157	719	1557
158	723	1552
159	728	1547
160	733	1545
161	738	1541
162	743	1537
163	747	1532
164	752	1527
165	756	1521
166	760	1516
167	764	1511
168	769	1506
169	774	1503
170	779	1498
171	783	1493
172	787	1488
173	793	1486
174	799	1483
175	805	1482
176	810	1478
177	814	1473
178	818	1468
179	823	1464
180	827	1458
181	832	1453
182	836	1449
183	840	1444
184	845	1438
185	849	1433
186	853	1428
187	857	1423
188	861	1418
189	866	1413
190	870	1408
191	874	1402
192	878	1397
193	883	1392
194	887	1387
195	891	1382
196	895	1377
197	900	1372
198	904	1367
199	908	1362
200	912	1357
201	917	1353
202	921	1348
203	925	1343
204	930	1338
205	934	1333
206	938	1328
207	942	1323
208	947	1319
209	951	1314
210	956	1309
211	960	1304
212	965	1300
213	970	1297
214	975	1293
215	980	1289
216	985	1284
217	991	1282
218	997	1279
219	1002	1275
220	1006	1270
221	1011	1266
222	1015	1261
223	1020	1257
224	1024	1252
225	1029	1248
226	1033	1243
227	1037	1238
228	1042	1233
229	1046	1228
230	1050	1223
231	1054	1218
232	1059	1213
233	1063	1208
234	1067	1204
235	1072	1199
236	1076	1194
237	1080	1189
238	1084	1184
239	1088	1179
240	1093	1174
241	1097	1169
242	1101	1165
243	1106	1160
244	1111	1156
245	1115	1151
246	1119	1146
247	1125	1143
248	1129	1138
249	1133	1133
250	1138	1129
251	1142	1124
252	1146	1119
253	1151	1114
254	1155	1110
255	1159	1105
256	1165	1101
257	1170	1097
258	1174	1092
259	1180	1089
260	1187	1087
261	1193	1084
262	1198	1080
263	1203	1075
264	1207	1070
265	1211	1065
266	1216	1061
267	1220	1056
268	1224	1051
269	1228	1046
270	1232	1041
271	1237	1037
272	1241	1032
273	1245	1027
274	1249	1022
275	1254	1017
276	1258	1013
277	1262	1008
278	1266	1003
279	1271	999
280	1275	994
281	1280	989
282	1284	984
283	1289	980
284	1293	975
285	1297	970
286	1301	966
287	1306	961
288	1310	956
289	1314	951
290	1318	947
291	1322	942
292	1326	937
293	1331	932
294	1335	928
295	1339	923
296	1344	919
297	1349	914
298	1353	909
299	1357	905
300	1362	900
301	1366	896
302	1370	891
303	1376	887
304	1381	883
305	1385	878
306	1390	874
307	1396	870
308	1402	866
309	1407	862
310	1413	858
311	1417	854
312	1424	850
313	1430	847
314	1435	843
315	1442	839
316	1448	836
317	1454	832
318	1460	828
319	1465	824
320	1471	820
321	1477	816
322	1482	812
323	1487	808
324	1493	804
325	1498	799
326	1504	795
327	1510	792
328	1515	787
329	1522	784
330	1529	780
331	1535	777
332	1541	773
333	1546	768
334	1552	764
335	1559	760
336	1563	756
337	1569	752
338	1574	747
339	1581	744
340	1586	739
341	1593	735
342	1600	732
343	1606	728
344	1611	724
345	1618	720
346	1623	715
347	1627	710
348	1634	707
349	1638	702
350	1643	697
351	1650	693
352	1654	689
353	1658	684
354	1666	680
355	1671	675
356	1676	671
357	1682	667
358	1687	662
359	1691	657
360	1697	653
361	1702	648
362	1707	644
363	1713	640
364	1718	635
365	1723	631
366	1727	626
367	1732	621
368	1736	616
369	1741	611
370	1745	606
371	1750	602
372	1755	597
373	1759	592
374	1763	587
375	1767	583
376	1772	578
377	1776	573
378	1780	568
379	1784	563
380	1790	559
381	1796	555
382	1802	550
383	1807	545
384	1811	541
385	1815	536
386	1820	531
387	1824	526
388	1828	521
389	1833	517
390	1837	512
391	1841	507
392	1846	502
393	1851	498
394	1855	493
395	1859	488
396	1864	483
397	1869	479
398	1874	474
399	1878	469
400	1883	465
401	1888	460
402	1892	455
403	1897	450
404	1901	446
405	1906	441
406	1910	436
407	1915	431
408	1919	427
409	1924	422
410	1929	417
411	1933	413
412	1938	408
413	1942	403
414	1947	398
415	1951	394
416	1956	389
417	1961	384
418	1965	379
419	1970	375
420	1974	370
421	1980	366
422	1985	361
423	1990	356
424	1996	352
425	2001	347
426	2006	343
427	2011	338
428	2016	333
429	2021	329
430	2025	324
431	2030	319
432	2034	314
433	2039	310
434	2043	305
435	2048	300
436	2052	295
437	2057	291
438	2062	286
439	2066	281
440	2071	277
441	2075	272
442	2080	267
443	2084	262
444	2090	258
445	2095	253
446	2099	248
447	2105	244
448	2109	239
449	2114	234
450	2118	230
451	2123	225
452	2127	220
453	2132	216
454	2136	211
455	2141	206
456	2145	201
457	2149	197
458	2155	192
459	2160	187
460	2164	183
461	2169	178
462	2174	173
463	2179	169
464	2185	164
465	2190	159
466	2196	155
467	2202	150
468	2206	145
469	2210	141
470	2215	136
471	2219	131
472	2223	126
473	2227	122
474	2232	117
475	2236	112
476	2240	108
477	2244	103
478	2249	98
479	2253	93
480	2257	89
481	2261	84
482	2266	79
483	2270	75
484	2274	70
485	2278	65
486	2282	60
487	2286	56
488	2291	51
489	2295	46
490	2299	42
491	2303	37
492	2307	32
493	2311	28
494	2315	23
495	2319	18
496	2324	14
497	2328	9
498	2332	4
499	2337	0
